"id"	"x"	"y"	"t"
"1"	-3.82360463775694	5.18949243798852	0
"1"	-3.78058308140862	5.24224089385266	0.001
"1"	-3.70696138429838	5.21604908445871	0.002
"1"	-3.51780031575166	5.2154104352364	0.003
"1"	-3.52296356830019	5.13897313413573	0.004
"1"	-3.48030664514436	5.19726190551766	0.005
"1"	-3.37162400965035	5.2036079960845	0.006
"1"	-3.29050743532201	5.13016958466108	0.007
"1"	-3.10418904984931	5.15713394192354	0.008
"1"	-3.20200296138025	5.18313825867618	0.009
"1"	-3.17842663685737	5.0944522310075	0.01
"1"	-3.14583190281658	5.03422162239358	0.011
"1"	-3.14263078743293	4.99869952979498	0.012
"1"	-3.20326945575787	5.0770749643627	0.013
"1"	-3.13073765534681	5.0113326562229	0.014
"1"	-2.98477911856644	5.04847559203741	0.015
"1"	-2.97942576502753	5.09538942108216	0.016
"1"	-2.89856783448665	5.13625233674079	0.017
"1"	-2.83403555251194	5.14033936886578	0.018
"1"	-2.82233766835351	5.08737591155485	0.019
"1"	-2.83461214902603	5.00287331872754	0.02
"1"	-2.82866947782451	4.87889071677104	0.021
"1"	-2.63637906680855	4.95585266214039	0.022
"1"	-2.69630468488171	4.89331443607197	0.023
"1"	-2.70950763169498	4.91983952122327	0.024
"1"	-2.69354005998499	4.90377825630971	0.025
"1"	-2.67665848040608	4.86604924774725	0.026
"1"	-2.55626685435278	4.81870388269132	0.027
"1"	-2.41639976012548	4.66358459439142	0.028
"1"	-2.31219899979264	4.59635336668108	0.029
"1"	-2.22241507694855	4.56478342841129	0.03
"1"	-2.17970951563965	4.48553923572418	0.031
"1"	-2.17343719357951	4.38267551752434	0.032
"1"	-2.07449152418525	4.39103010706432	0.033
"1"	-1.98610069857187	4.43225682922672	0.034
"1"	-1.75348117530756	4.36769306236379	0.035
"1"	-1.81714611938106	4.38030914135143	0.036
"1"	-1.77189090254487	4.27978121451151	0.037
"1"	-1.59060325617817	4.19556316079435	0.038
"1"	-1.56804130715525	4.12469563491973	0.039
"1"	-1.45786720730239	4.03787679521038	0.04
"1"	-1.3058513848678	3.91310975213006	0.041
"1"	-1.14073052668676	3.7992413300514	0.042
"1"	-1.07668340293173	3.88353583989046	0.043
"1"	-1.02791025084085	3.82653947988266	0.044
"1"	-0.938449486729487	3.87120460637063	0.045
"1"	-0.907323437367023	3.88055003155513	0.046
"1"	-0.957360522101517	3.97593526815541	0.047
"1"	-0.975899971072648	4.0926082650005	0.048
"1"	-0.8107665083917	4.00334883420552	0.049
"1"	-0.866202254092407	3.9246304251641	0.05
"1"	-0.854460315553348	3.89850926553222	0.051
"1"	-0.893178061054994	3.84145866308043	0.052
"1"	-0.922391180739775	3.7881297442464	0.053
"1"	-1.06324591947128	3.77330441503993	0.054
